Frequency_Hz	Pair_2_Noise_nV	Pair_3_Noise_nV
0.1	0.001298685344928093	0.0006512209501966286
0.12475	0.0007169524628895491	0.0006021893414657882
0.137125	0.0013814424765670667	0.00036732954676719126
0.1495	0.000979999591354527	0.0006397036240133081
0.161875	0.0005359712152249129	0.000649894438826245
0.17425	0.000519934752829622	0.0006643267228479296
0.186625	0.000618180371701666	0.0006834185195251955
0.199	0.0003375167102156129	0.0007364426605473708
0.22375	0.00041549872162926094	0.0004649351135800026
0.236125	0.0004957200454530763	0.0008397483781073411
0.2485	0.0005874296624136033	0.0007341752623106284
0.260875	0.0005233691045112617	0.0006475972767150893
0.27325	0.0006668162548975467	0.0007729356186116991
0.285625	0.0005211568573679138	0.0007659286169593417
0.298	0.0004553298848323378	0.0006719499807401664
0.310375	0.00043529850808290163	0.0007527707348445475
0.32275	0.00029352401507910726	0.0007673655089707902
0.335125	0.000421927328099046	0.0005266869176460718
0.3475	0.00042502172093769516	0.0006754375700527177
0.359875	0.0005396115851442684	0.000553646125801319
0.37225	0.0006680728990239314	0.00021952635409900104
0.384625	0.0004741441863847221	0.00039060234465886144
0.397	0.0006620304628542707	0.0004378090639737716
0.409375	0.0006968116807646883	0.00016665828788905152
0.42175	0.0003996422556897606	0.0002698598595822654
0.434125	0.0002679677223320749	0.0002745584723177196
0.4465	0.0002869520791867346	0.000252724335214142
0.458875	0.0004093234668044333	0.00023525303905029579
0.47125	0.0003581455402841699	0.00015073068916975733
0.483625	0.00021796580268473308	0.00034814269673689833
0.496	0.00030591421298083535	0.00037915591590753785
0.508375	0.0004053421815697819	0.0002876485588493535
0.52075	0.0006857534686943042	0.000358199168008414
0.533125	0.0004962916119543025	0.0004245804776871518
0.5455	0.00025372103953425526	0.0004416802045852101
0.557875	0.0001548343810895048	0.0004273306453595974
0.57025	0.00035737693299079895	0.0003463703555853907
0.582625	0.00030111554198591277	0.00033163612908813174
0.595	0.00021653683276154194	0.000325411633011867
0.607375	0.00015713462269302712	0.00027298908164648266
0.61975	0.000230628177145465	0.00022839477319693636
0.632125	0.00030727240423678536	0.0003374663895306678
0.6445	0.00034582545341497117	0.00018973877263132172
0.656875	0.00029764768302247875	0.00021797550689130188
0.66925	0.0002025485315825321	0.00016482881070698776
0.681625	0.0002422175577099439	0.00016758561153109176
0.694	0.00024511428895639684	0.0001953280173313598
0.706375	0.00014094490052900103	0.00015827010054438582
0.71875	0.0003387632527256757	0.0003245518649131445
0.731125	0.00034430368765483765	0.0003972245322488404
0.7435	0.00014882044885164943	0.00022953596634400544
0.755875	0.00022928016951445323	0.0002913356801816359
0.76825	0.0002882964969481308	0.0002758373164162412
0.780625	0.00025797613843987023	0.00033588592021915284
0.793	0.00020334059193690277	0.0002938375688907734
0.805375	0.0002811338386781483	0.00015494618875568094
0.81775	0.00039614487465374333	0.00011868896904830712
0.830125	0.0004066548375178144	2.4515157609935806e-05
0.8425	0.00025343127223945747	0.00023617647326706787
0.854875	0.00023445864322477002	0.0003017062220935292
0.86725	0.0002605966078647838	0.0002619854963827423
