f	noise
2.85625	2.625421e-05
2.859625	3.309513e-05
2.872	2.612453e-05
2.884375	2.186649e-05
2.89675	2.842741e-05
2.909125	2.721385e-05
2.918125	2.420396e-05
2.9215	2.238065e-05
2.933875	1.283803e-05
2.94625	3.808642e-05
2.958625	4.497239e-05
2.971	2.005684e-05
2.98	3.160161e-05
2.983375	2.211895e-05
2.99575	2.862379e-05
3.008125	2.375365e-05
3.0205	2.677099e-05
3.032875	3.636419e-05
3.041875	3.729573e-05
3.04525	1.919195e-05
3.057625	4.838353e-05
3.07	4.386824e-05
3.082375	4.102495e-05
3.09475	2.717173e-05
3.10375	3.709858e-05
3.107125	2.987717e-05
3.1195	3.335098e-05
3.131875	1.62921e-05
3.14425	2.637526e-05
3.156625	3.352604e-05
3.165625	3.131219e-05
3.169	3.262866e-05
3.181375	5.999112e-05
3.19375	5.785246e-05
3.206125	4.127517e-05
3.2185	2.692264e-05
3.2275	2.617848e-05
3.230875	2.205693e-05
3.24325	3.209126e-05
3.255625	3.391166e-05
3.268	3.647348e-05
3.280375	2.07248e-05
3.289375	2.243988e-05
3.29275	2.229931e-05
3.305125	1.691573e-05
3.3175	2.35999e-05
3.329875	3.065632e-05
3.34225	2.522004e-05
3.35125	2.064936e-05
3.354625	1.156331e-05
3.367	5.742559e-06
3.379375	2.143561e-05
3.39175	3.415377e-05
3.404125	3.980868e-05
3.413125	2.810514e-05
3.4165	3.792704e-05
3.428875	2.65026e-05
3.44125	1.057384e-05
3.453625	1.991181e-05
3.466	3.233284e-05
3.475	3.022598e-05
3.478375	1.46818e-05
3.49075	4.372804e-05
3.503125	3.656078e-05
3.5155	2.896485e-05
3.527875	3.085188e-05
3.536875	3.515658e-05
3.54025	2.012087e-05
3.552625	2.00608e-05
3.565	1.919611e-05
3.577375	2.708793e-05
3.58975	1.731745e-05
3.59875	3.622991e-05
3.602125	2.355128e-05
3.6145	2.9254e-05
3.626875	2.510889e-05
3.63925	1.765918e-05
3.651625	2.163071e-05
3.660625	2.543694e-05
3.664	3.004581e-05
3.676375	2.48014e-05
3.68875	2.238434e-05
3.701125	2.791059e-05
3.7135	1.471624e-05
3.7225	2.257149e-05
3.725875	2.442249e-05
3.73825	1.860649e-05
3.750625	2.125888e-05
3.763	2.613603e-05
3.775375	2.618073e-05
3.784375	2.747012e-05
3.78775	9.510334e-06
3.800125	2.108972e-05
3.8125	1.523665e-05
3.824875	1.367437e-05
3.83725	1.847121e-05
3.84625	3.144676e-05
3.849625	2.356166e-05
3.862	1.609001e-05
3.874375	2.526784e-05
3.88675	3.078501e-05
3.899125	2.658308e-05
3.908125	2.170525e-05
3.9115	1.719934e-05
3.923875	3.07462e-05
3.93625	3.015057e-05
3.948625	2.866799e-05
3.961	2.572799e-05
3.97	2.217973e-05
3.973375	1.766599e-05
3.98575	1.280385e-05
3.998125	2.150912e-05
4.0105	2.693777e-05
4.022875	3.338802e-05
4.031875	1.984839e-05
4.03525	2.870907e-05
4.047625	2.362754e-05
4.06	2.274703e-05
4.072375	1.721646e-05
4.08475	3.070752e-05
4.09375	2.15824e-05
4.097125	4.712459e-05
4.1095	4.266439e-05
4.121875	2.704041e-05
4.13425	1.530633e-05
4.146625	1.472267e-05
4.155625	2.167954e-05
4.159	1.448352e-05
4.171375	2.750518e-05
4.18375	2.518287e-05
4.196125	3.068631e-05
4.2085	3.71958e-05
4.2175	2.111228e-05
4.220875	3.427352e-05
4.23325	2.61739e-05
4.245625	2.560705e-05
4.258	1.85517e-05
4.270375	1.497235e-05
4.279375	1.964422e-05
4.28275	1.375663e-05
4.295125	2.24026e-05
4.3075	3.466174e-05
4.319875	2.860489e-05
4.33225	2.197996e-05
4.34125	2.016158e-05
4.344625	2.362116e-05
4.357	2.349014e-05
4.369375	3.513444e-05
4.38175	2.770435e-05
4.394125	2.052926e-05
4.403125	1.815512e-05
4.4065	2.046475e-05
4.418875	1.597742e-05
