Frequency_Hz	Mismatch_0.05	Mismatch_0.04	Mismatch_0.03
0.1	0.003653852178763668	0.0008050813723686571	0.002044496831651984
0.112375	0.001931470074594996	0.0014805575819859219	0.0015033932715730106
0.12475	0.0014634093349277743	0.0019222288650141924	0.0019032178935060877
0.137125	0.001610975821669509	0.0018471438727507802	0.0021367198824611402
0.1495	0.001407505292270704	0.0015141859667210762	0.0012862020075925244
0.161875	0.0007339503126102951	0.0011888354881926726	0.0008691038540812024
0.17425	0.0016644787136641309	0.001154360186278529	0.0008799612281415359
0.186625	0.002287346329642278	0.0014374003043498356	0.0012420852637822415
0.199	0.0018400653133967173	0.0010962162385139895	0.0009964710452540807
0.211375	0.0016825300840991669	0.001017940879796931	0.0008633051890653675
0.22375	0.0009109886313626971	0.0007793213179597938	0.0009543944594671481
0.236125	0.0006863274130164334	0.0011062861595064768	0.0008489611779182839
0.2485	0.0007818296199279291	0.0009591887239196467	0.0005156406503220242
0.260875	0.0005436990224182953	0.0009310103048937589	0.00019523385823652615
0.27325	0.0003628498265445913	0.0009159269394294449	0.0005305332870706607
0.285625	0.0010503454671599197	0.000508599509630269	0.0004702402429023169
0.298	0.0008556503072391372	0.00034408897676571973	0.0006960632280318219
0.310375	0.0010089493959366644	0.0009087816440587971	0.0008991100472666291
0.32275	0.0007029667401506276	0.0005178728412297365	0.0006613381944907158
0.335125	0.0008876545087488712	0.000640797838827231	0.0005925147133220913
0.3475	0.0013628348273070365	0.0009489019610041071	0.0006532349888746698
0.359875	0.0012616560310317983	0.0007121454947578269	0.0003207398641306534
0.37225	0.000988164014083816	0.0006144568193186889	0.00044034350776638004
0.384625	0.0005998164635386645	0.0008544644647604896	0.0005565647190234304
0.397	0.0006491498789471042	0.0006337678589947821	0.0005120828014910771
0.409375	0.0004354572409855071	0.0006323930546893758	0.0004982740079340282
0.42175	0.0007343825520052337	0.0004838911698520237	0.0006221364628079598
0.434125	0.0011287070289499395	0.0004931357125674838	0.0003952269888218162
0.4465	0.0009327234005423044	0.00048750284363743965	0.0006265160371655302
0.458875	0.0004159431825114459	0.0005487205340308671	0.00067441036706664
0.47125	0.0007169784277660242	0.0005872536497032181	0.0003573620221377615
0.483625	0.0004683452008177301	0.0006192813133873489	0.0004394439813999505
0.496	0.0004704878939262985	0.0007827892785961519	0.0006067965651561105
0.508375	0.0005197243710650483	0.0008427121547765642	0.00046879179963044365
0.52075	0.0006716068739256247	0.0006544808124520305	0.00033814917146914616
0.533125	0.0007839665405022589	0.0003758213665851504	0.0005180622972384692
0.5455	0.0007980983239312516	0.0003919682735394194	0.0007397714910304892
0.557875	0.0009065939687852826	0.00038830725058933683	0.0004353629331398919
0.57025	0.0008023934346279262	0.0005437559659673813	0.000322739954921776
0.582625	0.0008674448686236607	0.0006925018562106531	0.00015014549659846614
0.595	0.00041460558405917545	0.0006313890269697123	0.00043771160651206174
0.607375	0.0006488553305891845	0.0006324057538273985	0.0005846887821433126
0.61975	0.0010179418261602377	0.0005239127178122802	0.0002928455479038054
