Frequency_Hz	Pair_2_Noise_nV
0.12475	0.00037267263499935176
0.137125	4.301660656072315e-05
0.161875	0.0001666131651843575
0.17425	0.0006217435167276053
0.186625	0.0005757211663578211
0.199	0.00033621263726635856
0.211375	0.00041174396456534736
0.22375	0.0005853031646987738
0.236125	0.0005910097006639993
0.2485	0.0005472434350363648
0.260875	0.0005782226278229865
0.27325	0.0005704896860513431
0.285625	0.0004311718435636538
0.298	0.0003941676090156952
0.310375	0.0005002361803670443
0.32275	0.0005240274638637178
0.335125	0.0004374062313949814
0.3475	0.0006025044572656703
0.359875	0.0006636071893169332
0.37225	0.0004883174599756289
0.384625	0.0004169352422890034
0.397	0.00042422400852256103
0.409375	0.0005427258265109558
0.42175	0.00033360290243311734
0.434125	0.00026161071520029527
0.4465	0.0003060733494337427
0.458875	0.0003312153907893019
0.47125	0.0004372179098487504
0.483625	0.0005210731428385942
0.496	0.0004839184013815283
0.508375	0.0003084244325455427
0.52075	0.00034023737236782203
0.533125	0.00024445446902409047
0.5455	0.00026649058717324913
0.557875	0.0004322469730635138
0.57025	0.0004328600515569784
0.582625	0.00042935197929119877
0.595	0.00030843281356198143
0.607375	0.00037387317961847704
0.61975	0.0003452878152304972
0.632125	0.000327488747996957
0.6445	0.00036727174888579486
0.656875	0.0002719968959253947
0.66925	0.0003128247650980497
0.681625	0.00024443051308484383
0.694	0.0001670884671194574
0.706375	0.00024051865781583347
0.71875	0.0002364964777405575
0.731125	0.00020062458351637768
0.7435	0.00022647786388147606
0.755875	0.00018881330800580876
0.76825	0.0002845417324241096
0.780625	0.0002920233485399191
0.793	0.00013157981332913494
0.805375	0.0002152336393019481
0.81775	0.00020751388217851835
0.830125	0.00015630591938631112
0.8425	0.00017688346618796794
0.854875	0.0002795377373673723
0.86725	0.0001856808853939519
0.879625	0.00017995291338000058
0.892	0.00014841259240903383
0.904375	0.00015554471584386913
0.91675	0.00015998324611196012
0.929125	0.0002850753466008374
0.9415	0.00022569031425711893
0.953875	0.00023468479432242728
0.96625	0.0002150598101928159
0.978625	0.00020729921969597475
0.991	0.0002809951392257168
1.0	0.00026186141840157956
1.003375	0.0002584699138029608
1.01575	0.00019696924801068796
1.028125	0.00017731843266114748
1.0405	0.00019505927722037318
1.052875	0.0002464160255949276
1.061875	0.00021255226922981533
1.06525	0.00022940062260316558
1.077625	0.0002594851409662603
1.09	0.0002655467182771271
1.102375	0.00017427734759499985
1.11475	0.0002827025860435316
1.12375	0.00020493323025265448
1.127125	0.0002488359308434927
1.1395	0.0001969734054845892
1.151875	0.00020829392549641745
1.16425	0.0002553050251994081
1.176625	0.0002369213311679805
1.185625	0.00023111100942444846
1.189	0.00016386619049271758
1.201375	0.0001645519949576595
1.21375	0.0001800925588931922
1.226125	0.00017705686337176428
1.2385	0.00018364626072670006
1.2475	0.00024444696945347366
1.250875	0.00018258938062572943
1.26325	0.0002089709903987228
1.275625	0.00021433484033750184
1.288	0.00022340993644418862
1.300375	0.00017038117297533197
1.309375	0.00016589757282725717
1.31275	0.00016567798113516444
1.325125	0.00021440662294889588
1.3375	0.0002041166616374937
1.349875	0.00018746035785010626
1.36225	0.0002124983400239578
1.37125	0.00023963445723319737
1.374625	0.00019939413562196457
1.387	0.0002325496112488688
1.399375	0.0002435714872495734
1.41175	0.00020188075055497764
1.424125	0.0001514393608970069
1.433125	0.0002387824410741996
1.4365	0.00017688946832470948
1.448875	0.00021654290362454155
1.46125	0.00024290358352341285
1.473625	0.00018490548309501776
1.486	0.0001615526549203126
1.495	0.00019447669047404498
1.498375	0.00017749675285260968
1.51075	0.00017284774999636645
1.523125	0.0001641575195826286
1.5355	0.0001523629033040668
1.547875	0.00017215051896566415
1.556875	0.00019167472708484003
1.56025	0.0002399306497404648
1.572625	0.00032581750182308867
1.585	0.00021989198659135603
1.597375	0.000147610740052862
1.60975	0.0002041936685130075
1.61875	0.0002052438911335838
1.622125	0.00017098028880302082
1.6345	0.00021651317974880307
1.646875	0.00016588364581480476
1.65925	0.00010218602066262488
1.671625	0.0001405934221224062
1.680625	0.0001892859263344256
1.684	0.00011292989462320907
1.696375	0.00013906713023630385
1.70875	0.00015056944586784232
1.721125	0.00014186609798370295
1.7335	0.00019405146663724937
1.7425	0.0001656219456975482
1.745875	0.00019775728864518342
1.75825	0.00018946522640547395
1.770625	0.0002269380238406995
1.783	0.0001721696930536626
1.795375	0.00018245461966354812
1.804375	0.00016795749637107124
1.80775	0.0002050544424559729
1.820125	0.00022508560359882528
1.8325	0.00015217946329280932
1.844875	0.0002244894373824381
1.85725	0.00023046348712709157
1.86625	0.00014813685824866107
1.869625	0.00020654152290483868
1.882	0.00015089777479826498
1.894375	0.00015025954500810126
1.90675	0.0001419316082913031
1.919125	0.00010560440715124723
1.928125	0.00013309963867886004
1.9315	0.00014501152519741975
1.943875	0.00017547407121422555
1.95625	0.00019908561261633247
1.968625	0.0002066240601543402
1.981	0.00018769088056931241
1.99	0.000166728116845811
1.993375	0.00015989525302083707
2.00575	0.0001994225267312785
2.018125	0.00017003689690794641
2.0305	0.00014791245167302143
2.042875	8.250249730963542e-05
2.051875	0.00012767326573534456
2.05525	0.0001169116115082313
2.067625	0.00014012304161502452
2.08	0.00018245930237134391
2.092375	0.00021212104042173444
2.10475	0.00023799575069257414
2.11375	0.000138255493405298
2.117125	0.00022875793105759285
2.1295	0.00016316855643990234
2.141875	0.00014424329491442435
2.15425	0.0001342072114213685
2.166625	0.0001241548239879784
2.175625	0.00012598790511362588
2.179	0.00013169287064229064
2.191375	0.0001846292493396902
2.20375	0.0001511323626198211
2.216125	0.0001737977128455881
2.2285	0.00017397363231218805
2.2375	0.00014260416677618363
2.240875	0.0001328382627861551
2.25325	0.00011321462116835925
2.265625	0.00013407731224059907
2.278	0.00012430827949850968
2.290375	0.00013031773184937612
2.299375	0.0001463423617737595
2.30275	0.00016081920716330466
2.315125	9.023777401669435e-05
2.3275	0.00012844946134309945
2.339875	0.00018571183129571336
2.35225	0.00016957399727790344
2.36125	0.00017784481667937332
2.364625	0.0001199687016858964
2.377	0.00011858676711231316
2.389375	0.00014373542668821734
2.40175	0.0001704724237664262
2.414125	0.0001603275528387819
2.423125	0.0001959731406435461
2.4265	0.00014978521631112867
2.438875	0.00010759824085773893
2.45125	9.661510476940913e-05
2.463625	0.00013038979072816975
2.476	0.00015511857851237677
2.485	0.00018871619587453934
2.488375	0.00017793123709059603
2.50075	0.00015543637028656967
2.513125	0.0001224532093773581
2.5255	0.00012742996140157305
2.537875	0.0001601433436612387
2.546875	0.00012298204506700806
2.55025	0.00010986860368531129
2.562625	0.0001431431767624147
2.575	0.00013102801121531225
2.587375	0.00011756485005152859
2.59975	0.00014272179212968528
2.60875	0.00012703820443979677
2.612125	0.00013062517185814378
2.6245	0.00012635871386604844
2.636875	0.00011893635875912126
2.64925	0.00017174483776088032
2.661625	0.00015094019122040227
2.670625	0.0001443970298652209
2.674	0.00014320794744268072
2.686375	0.0001568426089588872
2.69875	0.0001362472810422428
2.711125	0.0001258867514672656
2.7235	0.00012997369848519777
2.7325	0.0001569723296158909
2.735875	0.00012805132494022662
2.74825	0.00011747612276795826
2.760625	9.357621209502285e-05
2.773	9.534928594326021e-05
2.785375	0.00011622828612204302
2.794375	0.00014440851013904096
2.79775	0.00013798065113175976
2.810125	0.0001371777414266655
2.8225	9.726581081128352e-05
2.834875	0.00011273822245879123
2.84725	9.096921799672678e-05
2.85625	0.00014994722997830234
2.859625	0.0001535866579227932
2.872	0.00015616410542092926
2.884375	0.00010382790446373219
2.89675	0.00011246332006899805
2.909125	7.760679158025474e-05
2.918125	0.00014878513837516971
2.9215	0.0001079395660484954
2.933875	0.00010004445444280808
2.94625	9.257145700281269e-05
2.958625	8.654604001677662e-05
2.971	9.709198414233433e-05
2.98	0.00013899974257403463
2.983375	0.00013338283933946488
2.99575	0.00013527214254529976
3.008125	0.00011041175641967436
3.0205	0.00012136700966354037
3.032875	0.00015503387051832868
3.041875	0.000115753811488897
3.04525	0.00014039470223394294
3.057625	0.00012794130979175216
3.07	0.0001347841569431007
3.082375	0.00010676934075631216
3.09475	0.0001399287725775407
3.10375	0.00011328957907337992
3.107125	0.00015984728822548443
3.1195	0.000145331776640209
3.131875	0.0001513418959286555
3.14425	0.00017122824304191878
3.156625	0.00015212109374708162
3.165625	0.00010952267853757002
3.169	9.696365074755799e-05
3.181375	8.635635345349873e-05
3.19375	6.20966134596952e-05
3.206125	7.959146154264036e-05
3.2185	0.00010622369719224803
3.2275	9.317912110720941e-05
3.230875	9.397771409993275e-05
3.24325	7.670853876974844e-05
3.255625	9.400367942946702e-05
3.268	0.00015876242886756804
3.280375	0.00016763061633415897
3.289375	0.00011441931037454124
3.29275	0.00013943584658477855
3.305125	0.00012922092193653125
3.3175	9.356429681113891e-05
3.329875	9.224913120888728e-05
3.34225	9.642402207061267e-05
3.35125	0.00012297153352638327
3.354625	0.00015871643411522924
3.367	0.00017374442506342907
3.379375	0.00013695160380560682
3.39175	0.0001520391947637092
3.404125	0.0001551388545422055
3.413125	0.00010775205253725055
3.4165	9.423458989775676e-05
3.428875	9.103367748292333e-05
3.44125	0.0001286503968019314
3.453625	8.875351737601107e-05
3.466	8.565230708940946e-05
3.475	0.00013671445565795008
3.478375	0.00011324494462027874
3.49075	0.00014020628937450844
3.503125	0.00012004216281574404
3.5155	0.00010167849852076643
3.527875	0.0001528654527215211
3.536875	0.00012079597570574776
3.54025	0.00013845258841727406
3.552625	0.00013958118548185498
3.565	0.0001339502143729449
3.577375	0.00012183126268739523
3.58975	0.00010192319022041796
3.59875	0.00012591777044199085
3.602125	0.00010596791765724
3.6145	0.00011458873059773374
3.626875	0.00012557257599435435
3.63925	0.00012103786396916299
3.651625	0.00010226960601911939
3.660625	0.00014413393847781446
3.664	0.00010872109801875577
3.676375	0.0001265740452029562
3.68875	0.00013384978683854675
3.701125	9.991821911989775e-05
3.7135	9.962606220599307e-05
3.7225	0.00012351260791834128
3.725875	9.818269535595313e-05
3.73825	7.781581470403043e-05
3.750625	9.908979750865171e-05
3.763	0.00010488495247235945
3.775375	9.515949582070725e-05
3.784375	9.827223239321268e-05
3.78775	0.0001163987263107653
3.800125	0.00013794334215452953
3.8125	0.00011905960453964855
3.824875	0.0001370409543434119
3.83725	0.00015342077279438367
3.84625	0.00012075160470214216
3.849625	0.00011415141526645389
3.862	8.651055850457967e-05
3.874375	0.00010996172524103285
3.88675	0.00013768649451747217
3.899125	0.00013241622727201376
3.908125	9.65833101702028e-05
3.9115	0.00010978764118266864
3.923875	8.363862815669802e-05
3.93625	6.705040725326506e-05
3.948625	0.00010985890213451023
3.961	0.00010119298297965082
3.97	0.00012075943292963535
3.973375	9.128919767679143e-05
3.98575	0.00010425016809304194
3.998125	8.969869435357462e-05
4.0105	0.00011768763401847749
4.022875	8.405800365952787e-05
4.031875	0.00015292348914685379
4.03525	5.8732150458030217e-05
4.047625	8.047276515466833e-05
4.06	6.72362276797613e-05
4.072375	0.00010952511312511117
4.08475	0.00011713284216930622
4.09375	0.00014283302730671224
4.097125	0.00010929464335808915
4.1095	0.00011722282028759547
4.121875	0.0001420970472459998
4.13425	0.00013766610065405027
4.146625	0.00012575531253076786
4.155625	0.00011678844623655372
4.159	0.00013540589735790536
4.171375	0.00011529050895185432
4.18375	0.0001356702930263405
4.196125	0.00011843384649952859
4.2085	9.648039566031019e-05
4.2175	0.00010781097160721444
4.220875	0.00010044743950195845
4.23325	0.00013263318015489187
4.245625	0.00011675435906443707
4.258	0.00010196975163287394
4.270375	9.099859594459411e-05
4.279375	9.228469488476408e-05
4.28275	7.212981180377501e-05
4.295125	8.497361500971698e-05
4.3075	9.230129965268093e-05
4.319875	0.0001431936394813956
4.33225	0.0001360059542180356
4.34125	9.31825312487083e-05
4.344625	9.499708370845918e-05
4.357	0.00014844047977738553
4.369375	0.0001293864192853964
4.38175	8.137702275011725e-05
4.394125	7.733292710711848e-05
4.403125	0.0001091073355647346
4.4065	0.0001027806242960097
4.418875	9.529719420259811e-05
4.43125	0.000112815987830965
4.443625	8.585112790213242e-05
4.456	9.477882276616017e-05
4.465	9.747685408919341e-05
4.468375	0.00012237120723917493
4.48075	9.804961214600408e-05
4.493125	0.00011036417845184686
4.5055	0.00011254498823023796
4.517875	6.155283083605498e-05
4.526875	9.50395409277123e-05
4.53025	0.00012854973231704687
4.542625	0.0001165188023147097
4.555	8.216347866201564e-05
4.567375	9.214643067877617e-05
4.57975	0.00012125608484529096
4.58875	8.750355483937038e-05
4.592125	0.00012861967574146656
4.6045	0.0001423996482916106
4.616875	0.0001247153163500121
4.62925	9.59325772769084e-05
4.641625	0.00011273634839389602
4.650625	9.574346842945268e-05
4.654	0.00011720350080024743
4.666375	0.00011445014351336743
4.67875	0.00010807231192256184
4.691125	0.00010664218538512983
4.7035	9.608100487095461e-05
4.7125	8.436917360776329e-05
4.715875	0.00011964680127098049
4.72825	0.00014370820331735383
4.740625	0.0001148378045582708
4.753	7.258719661624355e-05
4.765375	7.725844455107286e-05
4.774375	8.544261627250479e-05
4.77775	8.504287520696134e-05
4.790125	6.880201963760294e-05
4.8025	8.384402825684129e-05
4.814875	9.768504252051642e-05
4.82725	8.301184227849422e-05
4.83625	8.415657769437099e-05
